Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
006_5882_FY19,13.25,12.25,14.25,16,19.75,,,,,,,,,,,,,,,,,,,,
006_5987_FY19,19,15,15.5,16,19,17.25,5.5,,,,,,,,,,,,,,,,,,
006_5991_FY19,22.5,24.5,22.75,23,23.25,22.5,22.5,,,,,,,,,,,,,,,,,,
006_5992_FY19,13.25,15.5,14.5,16.5,14,13.25,,,,,,,,,,,,,,,,,,,
006_5993_FY19,20.25,20.5,22.5,22,,,,,,,,,,,,,,,,,,,,,
006_6091_FY19,7.25,5.75,12.75,14.5,13.75,13.5,,,,,,,,,,,,,,,,,,,
006_6206_FY19,23.25,23,21.75,22.25,,,,,,,,,,,,,,,,,,,,,
006_6209_FY19,6,5.25,8,8,14.75,12,16,19.5,21.25,19.75,21.5,8,12,20.5,,,,,,,,,,,
006_8083_FY19,25.25,24,23.25,23,23.25,24,24.25,25,25.5,26,,,,,,,,,,,,,,,
006_8087_FY19,24.25,22.5,24.25,22.75,,,,,,,,,,,,,,,,,,,,,
006_8091_FY19,21.25,23.25,22.25,21.75,21.75,21.5,,,,,,,,,,,,,,,,,,,
007_3595_FY19,13.25,12.25,14.5,14.75,12,13,15,,,,,,,,,,,,,,,,,,
007_3597_FY19,8.5,7,12.5,15.25,14.25,15,,,,,,,,,,,,,,,,,,,
007_3802_FY19,8.25,13.5,15.75,17,15.25,14.25,14.75,15,21.75,16.5,15.25,,,,,,,,,,,,,,
007_3804_FY19,10.75,8.25,11.5,15.25,19.5,,,,,,,,,,,,,,,,,,,,
007_3805_FY19,8.75,14.5,16,18.5,20.25,,,,,,,,,,,,,,,,,,,,
007_3904_FY19,12.5,19,16.25,17.5,18.25,21.5,,,,,,,,,,,,,,,,,,,
007_3910_FY19,21.25,23.75,23.25,22.75,22.5,24.5,23.75,24,24,21.5,,,,,,,,,,,,,,,
007_4010_FY19,9.5,14.25,16.5,17.75,16,16,16,16.5,22.5,17.25,16.25,,,,,,,,,,,,,,
007_4013_FY19,14.25,14.75,12.75,14,15,14,13.5,,,,,,,,,,,,,,,,,,
007_4113_FY19,22.5,22.5,24,24.75,25,25.5,24.75,,,,,,,,,,,,,,,,,,
007_4114_FY19,14.25,14.25,13.5,19,17.25,18.5,,,,,,,,,,,,,,,,,,,
007_4122_FY19,4.25,9,10.25,12,21.25,17.5,19.75,13.75,18.25,16,15.25,,,,,,,,,,,,,,
007_4224_FY19,17.5,17,16.25,17.75,18,,,,,,,,,,,,,,,,,,,,
007_4329_FY19,21.5,21.5,22.25,21.75,21,,,,,,,,,,,,,,,,,,,,
007_4330_FY19,23,22.75,22.25,23.25,,,,,,,,,,,,,,,,,,,,,
007_4628_FY19,22.5,23,23,22.25,21.75,23.75,22.5,23.25,,,,,,,,,,,,,,,,,
007_4732_FY19,24.75,23.5,24.5,23.25,,,,,,,,,,,,,,,,,,,,,
007_4734_FY19,18.25,19.5,19.5,20.25,21,22,,,,,,,,,,,,,,,,,,,
007_4836_FY19,17.75,19,18.75,19.75,20.25,21.5,,,,,,,,,,,,,,,,,,,
007_4940_FY19,16.25,5.25,0.75,7.5,12.25,14.25,15.5,14.25,,,,,,,,,,,,,,,,,
008_3921_FY19,21,21,20,17.75,,,,,,,,,,,,,,,,,,,,,
008_4023_FY19,21.25,21.75,21.75,21.25,,,,,,,,,,,,,,,,,,,,,
008_4127_FY19,23.75,22.25,22.25,21.75,22.5,23.5,24.75,23.25,24.25,,,,,,,,,,,,,,,,
008_4137_FY19,12,18,13.75,0.25,0.75,12.5,16.75,18.25,12,6.75,,,,,,,,,,,,,,,
008_4232_FY19,17.5,20.75,20.25,18.5,20.25,20,,,,,,,,,,,,,,,,,,,
008_4238_FY19,12.25,18.25,12.75,0,0,12.25,17.75,18.5,11.75,6.25,,,,,,,,,,,,,,,
008_4336_FY19,14,16.25,19,18.75,18,16.75,15,17.25,18.75,18.75,19,16.75,,,,,,,,,,,,,
008_4342_FY19,20.25,22.75,22.5,20.25,21.75,,,,,,,,,,,,,,,,,,,,
008_4344_FY19,2,13,18,18.75,13,7,5,6.5,17,14.5,7.5,5,6.75,9,11.5,13.75,17,20,18,15.5,15.75,15.5,16,,
008_4448_FY19,1,12,16.5,18.5,11.5,6,3.5,5.75,16.75,14.75,3.5,0,3,5.75,11.25,12.75,16.5,20,16.5,12.75,2,12.75,13.25,,
008_4538_FY19,19,17,14.25,17.25,17.5,19.25,,,,,,,,,,,,,,,,,,,
008_4548_FY19,22,22,22,22.75,24.5,22.25,23.5,22.75,22.5,24,23.5,23.25,24,,,,,,,,,,,,
